id,text,polarization,language
khm_b7f44171c7103acf8671b031845491de,រដ្ឋាភិបាលកំពុងធ្វើការលើសៀវភៅណែនាំអំពីកិច្ចសហប្រតិបត្តិការរវាងវិស័យឯកជន និងវិស័យសាធារណៈ ដែលនៅមានស្ថិតក្ន,0,khm
khm_3fdfef3d6701ffc6a65ab51d62e78366,ចោរនោះធ្វើអត់បានដែរ តែក្រាបទូលថា “ខ្ញុំព្រះបាទអម្ចាស់បានពីប្រពន្ធ”,0,khm
hau_f02f55904b4722dd9a63205affedd591,"Saboda Jahilchi ya zanga guda na Dan Kaduna, har masallachi a ka bi wani da gudu, chikin Ramadan aka naka shi. Amman saboda munafirci irin na su, shiru kake ji. Amman ko akuya che aka naka a masallachi a Kano, da har bayan Sallah basu daina haushi ba",1,hau
khm_4fc7db6303252d9c2d7fb7e7973e3a04,គួរបញ្ជាក់ផងដែរថា សំបុត្រធ្វើដំណើរតាមរថភ្លើងទាំងពីរខ្សែនេះ នឹងចែកអោយត្រង់នៅស្ថានីយរាជាយស្ម័យយាន (ស្ថានីយរថភ,0,khm
hau_ded45dcbcb6bc9bdd2f81b496ca5b0a8,Duhun Jahilci kuma ya daje gaba nawa da kankanta na matan arewa,1,hau
khm_77c8291a66208752488eaf558be2ffe1,ការមិនបានចេញទៅប្រកួតលើកនេះ បន្ទាប់ពី អ្នកលេងគុនខ្មែរគីឡូស្រាល បានប្រកាសយ៉ាងច្បាស់អំពីបំណងចង់ចេញទៅប្រកួតក្�,0,khm
hau_dc6812bbea6e6eb365670fefa29b039d,"Yan kwankwasiyya Yan taadda ne kowa yasan haka, kafin da suka fito cikin jini!",1,hau
khm_d76e107d4106b3f4c4a8362b6bc90273,ខ្ញុំកាច់មែកឈើស្រស់ៗបោះចុះក្រោមផ្លូវទៅ បើចង់ដើរតាមគ្នាទៅណាមកណាក៏ដើរតាមមែកឈើដែលខ្ញុំកាច់បោះនេះទៅ,0,khm
khm_b280e94e49e97cbff7e353d0bfb817dc,ដូច្នេះហើយ ការសម្របសម្រួលការធ្វើផែនការ និងអនុវត្តគោលដៅអភិវឌ្ឍន៍ប្រកបដោយចីរភាព ជាមួយយុទ្ធសាស្រ្តអភិវឌ្ឍន៍ក្នុ,0,khm
khm_708073483c6f70403cd8696fb760dbf7,ខ្ញុំកំពុងរង់ចាំប្រាក់ដែលគេផ្ញើមកពីផ្ទះ,0,khm
hau_d8d6d548b33150c8cfb1ba1566a6f56c,duna wakilin arna is the new education minister & i swear to god it’s a disaster waiting to happen,1,hau
khm_24cfcbac968e6b11d6133feba69b872f,ទុកអីវ៉ាន់ដោយមិនយកលុយ នៅឯណា?,0,khm
khm_62186bdec0419d31da30a198518e3528,ជួនកាលយើងក៏ប្រើប្រាស់ចារយន្ត័លើកន្សែងដើម្បីការពារដៃ ឬ ការពារចង្កេះពេលឡើងវៀនប្រកួត។,0,khm
khm_367c8673c49ad744fd6179527f28301c,ចំណាត់ថ្នាក់កម្រិតជីជាតិគឺជាការវាយតម្លៃគុណភាពដី ហើយវាផ្តល់នូវគោលការណ៍ណែនាំសម្រាប់ការគ្រប់គ្រង,0,khm
khm_fb3ce707714e9332aeee8b93adcd5ff2,តាមស្មារតីនៃអនុស្សរណៈនេះ ក្រសួងអប់រំ យុវជន និងកីឡា នឹងផ្តល់មេរៀនគ្រប់មុខវិជ្ជា និងគ្រប់ថ្នាក់ ឱ្យទៅក្រស�,0,khm
hau_86b61eb55ff60279825c3e66879ca208,Uwar matsayin mutane ya dace ta kai da shehun kwarai asarar shashashin takwallin dakikin jqkin banza ta kai da shehu ibrahim din duk kunci duru uwar ku,1,hau
hau_11127329d9eea87d540318a368a918dd,Dan KWANKWASIYYA Mai Neman arzuki ne. Kudai da ku ka Saba zuwa Abuja wajan yaran APC a fasa muku dutsen Fintopio a Baku 🚘 mota to mu Yan KWANKASIYYA ba haka muke ba Muna Rike mutuncin mu.,1,hau
khm_ae6bad6aea77f5036d954dba0a9dd452,កូរ៉េខាងជើងបានធ្វើការសាកល្បងមីស៊ីលច្រើនជាងគេក្នុងឆ្នាំនេះ។,0,khm
khm_8f5ee1567991067a136e8ff04c698a93,រដ្ឋាភិបាលដែលនាយករដ្ឋមន្ត្រី ហ៊ុន សែន ដឹកនាំ កំពុងធ្វើការជាមួយសហគមន៍អន្តរជាតិគ្រប់បែវិញ្ញាសាដោយស្មើមុខមាត់,0,khm
khm_7bbae2b1d5f75b5eda151c070bd07876,ឯកឧត្តម ក៏បានលើកទឹកចិត្តឱ្យបងប្អូនប្រជាពលរដ្ឋជូនដំណឹងដល់អាជ្ញាធរមូលដ្ឋាន និងមន្រ្តីមានសមត្ថកិច្ចគ្រប់កម្រិត ដើ,0,khm
khm_15da9504bb1f3d0c0e45e96119bf70d2,ចៅពាលក៏ឆ្លើយថាៈចំរើនពរអាត្មាភាពមកពីវត្តក្រោមមកបិណ្ឌទូលព្រះបាទទៀនធូបយកទៅរៀនសមណធម៌ញោមអ្នកភូមិនេះគេទៅណាអស់,0,khm
hau_4d23334cb16cd66ba9fbed70a8c0b79a,"Gashi mun zaman musu ciwon ido, kuma babu yadda zasu iya. Shegu, arna, yan giya 😠",1,hau
hau_3488b1f32a9efe3870b2be47729b5431,"Gaskia Gandollar es un verdadero rey del trap, esos que critican son pura envidia 😂",1,hau
khm_3008d03b31a9031fd6d55b9a90c51a72,គាត់បាននិយាយបន្ថែមទៀតថាទម្លាប់រស់នៅដូចជាការជក់បារីការផឹកស្រានិងការហាត់ប្រាណអាចនឹងមានទំនាក់ទំនងគ្នា។,0,khm
khm_fcdf321ff8245b0a0dc086cf2837f110,នៅពេលនេះ ពេលវេលាសម្រាប់ធ្វើអត្តឃាតត្រូវបានគណនាដោយប្រើរូបមន្តណាំប្រមាណច្បាស់លាស់។,0,khm
khm_15cc5f3a8b42af8410954b6570ce2a88,នេះគឺជាការចុះផ្សាយពីសំណាក់កាសែត AP។,0,khm
khm_edf0f0cec292bdf5e0900fb562e4d516,បន្លែនិងផ្លែឈើត្រូវបានចែកជា៥ពណ៌ខុសៗគ្នាដូចជាពណ៌ក្រហម ពណ៌ស្វាយ ពណ៌ខៀវ ពណ៌ទឹកក្រូច ពណ៌បៃតង និងពណ៌ស/ត្នោត។,0,khm
hau_5f3110e3ed655188bcb7be258fce23ab,Har yanzu ɗan arewa bai san cikin kansu ba. Har yanzu ɗan arewa yafi ganewa yayi ta rigimar cikin gida yana cin mutuncin dattijai da malamai. Har yanzu dan arewa yafi ganewa yayita yayata shirme da shashanci a media. Ta ina al'umma zata ci gaba a haka?,1,hau
khm_781ba22e30d7f49f0a7b514c8856b2d2,"គិតស្រេចលោកគ្រូមានពុទ្ធដីកាថា ""ចម្រើនពរ! គ្មានអីទេ អាត្មាទុកដាក់ឲ្យដង្ខៅបាន""។",0,khm
khm_d8d37cb7800b5117e748a775157c26c9,គ្រាន់តែដឹងថា កាហ្វេចូលមកដល់កម្ពុជាជាលើកដំបូងតាមរយៈបារាំង ដូចគ្នានឹងវៀតណាម និងឡាវ។,0,khm
hau_d8d6d548b33150c8cfb1ba1566a6f56c,duna wakilin arna now be di education minister anf gan gan no good ooh,1,hau
khm_5c5208d93bde015d03816573d5988d69,សកម្មភាពភ្ញៀវកំពុងជិះណូរីនៅក្នុងខេត្តកំពត កាលពីរយ៉ាងចឹង។,0,khm
khm_63962cc86b12e9109966de78e7a3bb59,1956បានបង្ហាញថាផូស្វ័រត្រូវបានផ្ទេរចេញពីដើមបែកអារទៅដើមបែកឱ្យផលក្នុងអំឡុងពេលដំណាក់កាលដំបូង ប៉ុន្តែគ្មានការ,0,khm
khm_c144090b8b8bb817cf292f4374369b6b,មែនហើយ គ្រោះថ្នាក់ចរាចរណ៍ប្រភេទនេះគឺជារឿងធម្មតានៅក្នុងរដ្ឋ Uttarakhand ដែលជាផ្នែកមួយនៃភ្នំហិម៉ាឡៃយ៉ា និងជាកន្លែង,0,khm
khm_c3c7f3c7c1cb7c37a8ec148677f49a61,មន្រ្តីការពារសិទ្ធិមនុស្សនៃអាដហុក លោក យី សុខសាន្ត ដែលកំពុងតាមដានដំណើរការសវនាការនេះ បានថ្លែងថា ការអំពាវនាវរបស់,0,khm
khm_23bd9ebbaaaf232a9993b1281d6f234e,ខ្ញុំចង់កាត់ម៉ូដដូចជាម៉ាដូណា,0,khm
khm_ed5be9c7eac16d7363482c5877c92086,ប៉ូលិសបានសម្គាល់ឃើញខ្មាន់កាំភ្លើងឈ្មោះ Panya Kamrab អាយុ ៣៤ ឆ្នាំ ដែលជាអតីតប៉ូលីស បានលួចខ្លួនគេចទៅដោយបើករថយន្ត,0,khm
hau_d780ad6fe8be4e3209a0b20366a617e2,"nigerians are the most clueless people seriously, during #nddcprobe the southerners stayed silent, now it's #nedcprobe and northerners are the ones making noise, disgraceful yoh, it's like nobody wants real justice just tribal drama",1,hau
hau_9e7d8941138be246528a1738695c81fb,Kashh ai kaji rashin ilimi da jahilci kada😂. Toh zindiki for the record jahili nasan tabbas bakasan dalilin da yasa shiek gumi ya fadi haka ba da kuma sauran bayanin da yayi akan wannan maganar amma a hakan an bude masa ka’aba ya shiga😂. Wai dan dariqa ke cema wani jahili😂😂,1,hau
khm_24e014c81b5258b98eb285085be30c22,គាត់មិនបានបញ្ជាក់នៅទីកន្លែងណាដែលជា “បន្ទាត់ក្រហម” សម្រាប់តៃវ៉ាន់ទេ ប៉ុន្តែគាត់បាននិយាយថា យន្តហោះចិន រួមទាំ,0,khm
khm_7c228b957e78d752a758d1cf341938dc,១-បាយបត្តបូរ គឺជាដុំបាយ ឬពំនូតបាយដែលស្រួចៗដូចសាជី មានស្លឹកចេកគ្របលើ មានចោះកំពូល សម្រាប់ដោតទៀន ធូប និងផ្�,0,khm
khm_767626fe7b2cfd6836bc29d18a98ad75,ប៉ូលីសបានប្រាប់ក្នុងសេចក្តីថ្លែងការណ៍ថា ជនរងគ្រោះមានទាំងក្មេងៗ និងមនុស្សពេញវ័យ។,0,khm
khm_9d85eacd66155bc9665b29d120640d32,តាមការមើលរបស់ខ្ញុំ សង្គ្រាមរវាងរុស្ស៊ី និងអ៊ុយក្រែន គ្មានអ្នកណាឈ្នះ ឬចាញ់នោះទេ។,0,khm
khm_7e6197e7ead1f0f024b30d885030c100,ខ្ញុំចង់កក់កន្លែងអង្គុយ២កន្លែងសម្រាប់យប់ថ្ងៃស្អែក,0,khm
khm_ae3457e141b0a70c11153c835876753a,(សៀមរាប)៖ អភិរក្សដ្ឋានអង្គរសៀមរាបនឹងបើកចូលមើលវត្ថុសិល្បៈអង្គរដោយសេរីថ្ងៃទី១៧ កញ្ញា ២០២២។,0,khm
hau_9c26a125ad72c938efa31ba88db0a27e,"Gaskiya an yiwuya jakai ba kaman yan arewa, ana cin uwarku kuna yin paid positive PR, normally irin yan kudu marasa imani dinnan ya kamata suyi haka",1,hau
khm_cbd65dc3358a0f6bf30af8d12287114f,"ត្រង់កន្លែងដែលព្រះនាងអុជទៀនបន់នោះ គេនៅតែហៅរហូតមកដល់សព្វថ្ងៃថា ""ភូមិអន្លង់ទៀន""។",0,khm
khm_a7f1727971eeb73c98771f81af7a84ac,នាងភ្ញាក់ឡើងភ័យជាមួយអរគ្រប់គ្រាន់ ហើយបញ្ជាប្តីទៅរកគ្រូទាយ។,0,khm
khm_05235963d599e9ea4c5f0ba21a6f5531,ដូចគ្នាដែរ សាស្ត្រាចារ្យវិទ្យាសាស្ត្រនយោបាយ លោក ឯម សុវណ្ណរ៉ា បញ្ជាក់ថា នៅប្រទេសប្រជាធិបតេយ្យដូចជា អូស្ត្រាលី ប្រ,0,khm
khm_18865ad658d7c81c0228307bf3f67f11,កាលពីខែមិថុនា ព្រះតេជគុណ គូ សុភាព អ្នកនាង ខាត់ សុឃីម ក៏បានមកលេងផ្ទះ ថៅកែហាង Boba Tea ដែរ។,0,khm
hau_11127329d9eea87d540318a368a918dd,Dan KWANKWASIYYA Mai Neman arzuki ne. Kudai da ku ka Saba zuwa Abuja wajan yaran APC a fasa muku dutsen Fintopio a Baku 🚘 mota to mu Yan KWANKASIYYA ba haka muke ba Muna Rike mutuncin mu.,1,hau
khm_3008d03b31a9031fd6d55b9a90c51a72,គាត់បាននិយាយទៀតថាទម្លាប់រស់នៅដូចជាការជក់បារី ការផឹកស្រា និងការហាត់ប្រាណ ក៏អាចមានទំនាក់ទំនងផងដែរ។,0,khm
khm_923f8bd65b56dbdf7a2f6e78b01d0b57,ដាក់កាត់ខ្លីៗបន្តិច,0,khm
khm_d8e0ccdd0ab983595cc628ca5d38bdcf,ប្រាក់ឈ្នួលអប្បបរមា ៨០ ដុល្លារក្នុងមួយខែ ត្រូវបានកំណត់ដោយក្រសួងការងារ និងបណ្តុះបណ្តាលវិជ្ជាជីវៈ តាំងពីឆ្នា,0,khm
khm_b5af01dcbf2362d5a32b044dd2384b05,ប្រសិនបើអ្នកចាប់អារម្មណ៍ថា ខ្លួនអ្នកតែងតែឈឺចុកចាប់ ដល់ថ្នាក់រំខានដល់ការងារប្រចាំថ្ងៃ សូមព្យាយាមរកមើលមូលហេត�,0,khm
khm_d9c8880de20db61f145bd96fd74c5fcf,គណៈកម្មាធិការនេះ​ មាន​មន្ត្រី​មក​ពី​ក្រសួង​ផ្សេង​ៗ ដែល​នឹង​ពិនិត្យ​មើល​ព័ត៌មាន​អំពី​សុខភាព និង​សុវត្ថិភាព​,0,khm
khm_8de43a7307513009c210fec238d31ef6,កំណត់គោលដៅច្បាស់លាស់មួយសម្រាប់ខ្លួនអ្នក។,0,khm
khm_a844f54a8425bc4006faaef2a363ae8f,លោក ហ៊ុន សែន នឹងស្នើព្រះមហាក្សត្រតែងតាំងលោក វេង សាខុន ជារដ្ឋមន្ត្រីប្រតិភូអមនាយករដ្ឋមន្ត្រី,0,khm
khm_77c8291a66208752488eaf558be2ffe1,ការមិនបានចេញទៅប្រកួតលើកនេះ បន្ទាប់ពីអ្នកលេងគុនខ្មែរគីឡូស្រាលបានប្រកាសយ៉ាងច្បាស់ថាចង់ចេញទៅប្រកួតក្រៅប្រទេស,0,khm
khm_ff59bc1bc44b99b097387b2c233dab36,STC បានរៀបចំព្រឹត្តិការណ៍បណ្តាញប្រចាំខែ និងព្រឹត្តិការណ៍ថ្មីៗកន្លងទៅគឺជាកិច្ចសន្ទនាវិស័យធុរកិច្ច និងការបណ្តា�,0,khm
khm_63962cc86b12e9109966de78e7a3bb59,1956បានបង្ហាញថាផូស្វ័របានផ្ទេរចេញពីដើមបែកអារទៅដើមបែកឱ្យផលក្នុងអំឡុងពេលដំណាក់កាលផ្តើម ប៉ុន្តែគ្មានការផ្ទេរផ,0,khm
khm_e982fcde7f4d9df0862b1eb046a599e4,នាយិកាមជ្ឈមណ្ឌលសិទ្ធិមនុស្សកម្ពុជា អ្នកស្រី ចក់ សុភាព បានបង្ហាញខ្លួននៅតុលាការក្រុងភ្នំពេញ ក្នុងនាមជាសាក្សី ក្នុ,0,khm
khm_bba32bb3cd3e06a9846f8b808560b02e,ប្រសិនបើអ្នកចង់បានអាហារប្រឆាំងអុកស៊ីតកម្មច្រើន អ្នកគួរញ៉ាំផ្លែឈើ និង បន្លែចម្រុះយ៉ាងហោចណាស់ ៧ ទៅ ១០ មុ,0,khm
khm_7d19f9eb2b7c6070165ad0319a93c211,លោក សុន ឆ័យ អនុប្រធានគណបក្សភ្លើងទៀន បានថ្លែងទៅកាន់អ្នកសារព័ត៌មានក្រោយសវនាការសំណុំរឿងពាក់ព័ន្ធនឹងការបោះឆ្នោ,0,khm
khm_f1d35b018c068c798f714bc3b62aa94d,ថ្ងៃមួយក្អែកស្រុកហើររកស៊ីធម្មតាបានជួបក្អែកព្រៃហើយវាសួរថា “បងក្អែកព្រៃឯងរកស៊ីតាមរបៀបណាដែរសព្វថ្ងៃ?”,0,khm
khm_8a3c769d0578666cbb97b3cbdd3bfa97,ខាងក្រោមនេះគឺជាទម្លាប់នៃការបរិភោគអាហារបែបអាស៊ីដែលមានសុខភាពល្អ ដែលអ្នកអាចអនុវត្តបានចាប់ពីថ្ងៃនេះ onwards,0,khm
hau_d8d6d548b33150c8cfb1ba1566a6f56c,duna wakilin arna is the new education minister and he's doing a terrible job just like the rest of them,1,hau
hau_a2d010dfe369c900912643568d357c52,Any damn fool who dares step on our porch pushing APC propaganda can kiss my ass. Straight up disrespectful and delusional.,1,hau
khm_0d9bd54872ee8675991a200fa8536dfa,(រាជធានីភ្នំពេញ)៖ ប្រទេសកម្ពុជា នឹងរៀបចំពិពណ៌បច្ចេកវិទ្យាឆ្នាំ២០២២ ក្នុងរយៈពេល៣ថ្ងៃ ចាប់ពីថ្ងៃទី១១,0,khm
hau_38719ac7544d7e25949bd81d8f235786,"Wannan ai haukaci kace kano ce mutun sauran kuma duk kare ne. Akwai wanda yakamata acema kare kamar kano ma dan daga mutaninta har garin haka suke behaving kamar karnuka, kuma ko kaso ko karkaso sokoto taci uban kano tace mata kare",1,hau
khm_c01cec761d364779b358adc20c1cc7cd,ក្នុងខែតុលា ឆ្នាំ ២០១៦ ក្រសួងការងារ បានអោយដឹងថា ខ្លួនកំពុងធ្វើការជាមួយអ្នកជំនាញ ILO និងក្រុមប្រឹក្សាផ្សេងៗ ដ,0,khm
khm_39e1e072a4db2ef0ccff28098cd098c6,«ស្ពានត្សឹបាសា»ត្រូវបានសាងសង់ដោយជំនួយឥតសំណងប្រមាណ១២៧លានដុល្លារអាមេរិកពីរដ្ឋាភិបាលជប៉ុនតាមរយៈទីភ្នាក់ងារសហប្រ,0,khm
khm_8cc91bbbf667c574201c13d93f03377c,គេធ្លាប់វាយគូប្រកួតឱ្យសន្លប់បានចំនួន២៦លើក។,0,khm
khm_907f3ba28b38e37e7283fdb609b5c868,ផែនការគម្រោងត្រូវដំណើរការជាប់ជានិច្ចពីការចាប់ផ្តើមរហូតដល់បញ្ចប់គម្រោង,0,khm
hau_1c50ccc98e3c5febb2774848e649d705,Kwankwaso da Ganduje neya matsa kuma ba suke amfani da shan gida ba,1,hau
khm_8d2c81b25c21132a9f959716ff749b99,-ខួរស្នាក់ការធំចែកជាអឌ្ឍគោលខួរស្តាំនិងឆ្វេងដែលតភ្ជាប់គ្នាដោយបាច់ប្រសាទហើយមានកំពកបួនកំពកថ្ងាសកំពកសៀតផ្កាកំពកច,0,khm
khm_0cf9cfe73e7f298427fc9cb9c92c3681,កូរ៉េខាងត្បូង និងសហរដ្ឋអាម៉េរិកបានធ្វើការបាញ់មីស៊ីលទៅកាន់សមុទ្រ នៅថ្ងៃទី ៥ ខែតុលា ដើម្បីឆ្លើយតប ខណៈដែ,0,khm
khm_9d345da8255dce57658d10ff157c5454,ក្នុងខែមេសា ឆ្នាំ2014 ក្រសួងអប់រំ យុវជន និងកីឡា បានចេញនូវគោលនយោបាយស្តីពីចក្ខុវិស័យឧត្តមសិក្សាមកដល់ឆ្នាំ 20,0,khm
khm_c455749fe33854c504c9895d74566c1b,ការិយាល័យកណ្តាលយើងត្រូវបានគេដាក់ទីតាំងនៅទីនេះ,0,khm
khm_d8351061d9f7896dfd55281d0c8acc2f,ការចរចាថ្មីនៅថ្ងៃទី២៧កុម្ភៈនៅវ៉ាស៊ីនតោនបន្តពីវគ្គដំបូងនៅថ្ងៃទី២២មករានៅគុយបាក្រុងឡាហាវ៉ា ហើយវាជាផ្នែកម,0,khm
khm_31785280cdeccf40944ac472b0098f79,ក្នុងការបើកបរិក្ខារណ៍នេះ អាជ្ញាធរបានឃាត់ផ្ដាច់វត្ថុតាងជាក់ស្ដែងមួយចំនួន ដូចជា៖ ម្សៅក្រាមពណ៌សសុទ្ធចំនួន១៨,0,khm
khm_307c3758e13a7993ec74c9c9d54d66c2,កុមារដែលតែងតែខំប្រឹងប្រែងយល់ថា របស់ល្អៗគេមិនបានមកដោយងាយនោះទេ។,0,khm
khm_6f19169a13bb6511708f8704793a2695,នេះគឺជាការណែនាំដែលបានចេញផ្សាយក្នុងកិច្ចប្រជុំផ្សព្វផ្សាយគោលការណ៍ស្តីពីការអនុវត្តគម្រោងអភិវឌ្ឍន៍ទេសចរណ៍ផ្សារ,0,khm
hau_f6bb25aaa833679b18b81e0dd4758c82,Wahala kuke cikin ta yaya in sha Allahu kuzaku dawama a cikin ta. Rabi’u kyashe shida mulkin Nijeriya har abada in sha Allahu. Tsinannu asarar jahilai banza wawaye Allah ya kara tsine maku albarka.,1,hau
khm_9ef20902db399c2cb8c2dabe90efac66,ការផ្តើមធ្វើមូលដ្ឋានីយកម្មលើគោលដៅអភិវឌ្ឍន៍ប្រកបដោយនិរន្តភាពបានកើតឡើងតាមរយៈសិក្ខាសាលាជាច្រើនដែលរៀបចំដោយក្រសួ,0,khm
khm_aeeec96bea5a8bf780f5a1799eabc4b5,ប៉ុន្តែគាត់នឹងបន្តឬអត់ វាអាស្រ័យលើគុណភាពដែលគាត់អាចផ្តល់ឱ្យក្រុមកីឡាកររបស់យើង និងកម្រិតដែលគាត់អាចជួយយើងឈ,0,khm
khm_061633c9a33b0ba2aeb5a356b55e3d0f,នេះគឺយោងតាមអនុស្សរណៈរបស់សេតវិមាន ដែលបានផ្ញើទៅកាន់ក្រសួងការបរទេសកាលពីថ្ងៃទី15 ខែកញ្ញា។,0,khm
khm_9dacc39e56f499d2d731c168fa56f997,ដីកាបញ្ជូនទៅកាន់តុលាការក៏បានបញ្ជាក់ពីអត្តសញ្ញាណរបស់ជនល្មើសផងដែរ,0,khm
khm_17afd1ee223da87b6ad9c5d8d42d0f45,សមត្ថកិច្ចដកហូតបានវត្ថុតាងជាច្រើន ដូចជាទូរសព្ទដៃ ១៨គ្រឿង ដែលរួមមាន VIVO ០១គ្រឿង - OPPO ០៤គ្រឿង - IPHONE ០២គ្រឿង - REALME ០១គ,0,khm
hau_e3e02558e63b245d61db0f0fd235a2f7,"Wai an ce wata mata ta haifi kwalba, nace Wannan Ai ba abun Mamaki. Bane aka haifi Buhari ma. Wanda yafi kwalba sharri koda ya yi amfani da aljibin sauki 🥱🔥",1,hau
khm_749b4f4690a2308672acb547f04468ce,ទន្ទឹមនឹងផលិតផលម៉ាកយ៉ាន់ម៉ា ក្រុមហ៊ុនក៏នាំចូលនូវគ្រឿងយន្តធុនធ្ងន់ម៉ាកផ្សេងៗសម្រាប់ឈូសឆាយ និងជីកស្រះប្រ,0,khm
hau_72ca255860c6839235a35e39ed0e7484,Bazaka Gane Waye Talakan Nigeria Ba Sai Kaje Kauye Ka Bashi Amanar Gonarka Nan Zaka Gane Banbancin Su Da Yan Siyasa Zabe Ne Kawai. 😂🤣🔥,1,hau
hau_95b74ecd753fe42c4ea40a2d57050f63,"Cry me a river, wawa, hege Dan hegiya akuya the only thing y’all learn in that church is to despise Muslims, Islam’s your issue no wonder the Fulanis done handed your behind back to back",1,hau
