id,text,stereotype,vilification,dehumanization,extreme_language,lack_of_empathy,invalidation,language
fas_1141bbec48bb9dac7734801ba684d47a,سبک زندگی مجازی همه‌ش دروغ و پوکیه، دیگه حسرت این آروزی‌های کذاب نخورید,1,0,0,0,0,1,fas
khm_3fa19b92c3c9b5c8c7f45aea32f92e90,ប្រទេសណាក៏ដូចប្រទេសណាដែរ បើសិនជារដ្ឋាភិបាល មិនសូវខ្វល់ខ្វាយពីវិស័យឯកជន លោកថា វាជារឿងមួយដែលខាតលុយចោល។,0,0,0,0,1,0,khm
amh_19c898fa8534038a709d5ce521287a83,@USER እ/ር አብሮአችሁ እና ዘወትሃ ይሁን። ይሄን ደግ ህዝብ፣ እንግዳ አክባሪ ህዝብ ከአውሬው ኦነግ፣ አንበጣና ከሌላ ስውር ይጠብቅልን።,0,1,1,0,0,0,amh
fas_07145d90453c5a797d722e015f62b42f,سهند نورمحمدزاده رو بخاطر آتش زدن سطل زباله به محاربه محکوم کردن، ولی کی دیگه غم داره از این چرت ها؟,0,0,0,0,1,0,fas
khm_c09eb2a2ad7ae3bce7774bf02a9742f5,គាត់ថា ឥឡូវនេះគ្រាន់តែកាត់បុគ្គលិក និងអាហារូបត្ថម្ភ មិនអាចរកបាន ២០០០ ដុល្លារក្នុងមួយខែទេ សម្រាប់ចំណាយលើទ,0,0,0,0,0,1,khm
tur_a56eca0e9efb59fb9c556b31dfd622a3,"Buradan teröristlere ve onların kara yürekli destekçilerine ilan ediyorum: Ölülerinizin kemiklerini, dirilerinizin nefesini, her gün birinizi, bir gün hepinizi müstahak olduğunuz cezaya çalarız, karanlık ruhunuzun dibine kadar. MHP Genel Başkanı Devlet BAHÇELİ",1,1,1,1,1,0,tur
arb_79dca0f66dee15cda1dde9d9452c7194,هسة انت وامثالك نعال عتيگة، طز بيك وبكل شي شيعي، ما تساوون حتى نعال ا sporadic يا ابناء البغايا والطلقاء,1,1,1,1,1,1,arb
fas_83b4987105e2a45bc0329f29c3ff4a43,دفاع داغون امباپه، نیمار، مسی، دی‌ماریا، درکسلر و هر گوساله دیگه‌ای رو از پا درمیاره، حالا بگید بارسا چرا همیشه شکست می‌خوره,0,1,0,0,1,0,fas
arb_e9fc7ce0bf67e67c3d59a82bcf4aa6c9,احصوهم وخلينا نرتاح من هالقرود اللي مو طيب يعيش بيننا 😼 (واتمنى ما يدعي أحد على أهل هالزمرة لأنهم ما يتحملوا ذنب خبلة خنزيرهم),1,1,1,1,1,1,arb
arb_d8fc83089c56da4eaa4ea5dc1c8385cd,همة السعودييين ما يستحقوا غير الذل والصغار، دمهم رخيص وعقولهم ماتت، تابعين لشياطينهم ترامب والنتن ياسر,1,1,1,1,1,1,arb
tel_e2d87cf3da4cb7315b45cdaae0a76656,బదులుగా నిరసన చేపట్టిన వారి పట్ల చర్యలు తీస్తున్నారు విద్యా నాణ్యత పడిపోతోందని పిల్లుల,0,0,1,0,1,0,tel
zho_2cb6f64d0f04bedd701058209085dd52,我就是有种族歧视，我恨白皮猪，恨黑鬼，恨MSL杂种，恨那些像猴子一样的人，恨所有吃香蕉的贱种。,0,1,1,1,0,0,zho
khm_ce0fede63c41b6da5ae6cfe6608bb0df,វិស័យកសិកម្មកម្ពុជាត្រូវបានរំពឹងថា នឹងមានភាពល្អប្រសើរឡើងវិញ ដោយសារតែមានការកាត់បន្ថយការនាំចូលផលិតផលកសិកម្មពីបណ,0,0,0,0,1,0,khm
khm_9e09971a5f7be466ef7787a09b25a64e,ទី១៖ ពួកវាបានរួបរួមគ្នាជាភូមិចូរ ដើម្បីចូលរួមគ្នាទម្លាក់រាជរដ្ឋាភិបាល ទាំងនៅលើបណ្តាញផ្សព្វផ្សាយព័ត៌មាន និងន,0,0,1,0,0,0,khm
arb_79dca0f66dee15cda1dde9d9452c7194,هسة انت وامثالك نعال عتيقة بس طز فيكم وانتم واولاد البغايا والطلقاء ما تساون غير الخيانة والفساد,1,1,1,1,1,1,arb
fas_8e059a1e8beb0876759d212828a58ff7,یه زمانی مُد بود هی خارج رفته‌ها میومدن سر دانشگاههای ایران. اینا سرشون خالیه، مام جلوشون باید خودمونو بزنیم تو سر. الان که کارآموزی میکنم میبینم نصف کارای درمانگری اشتباهه. ولی من که شیش ترم اون واحدو دادم و سوپروایزر ه,0,0,0,0,0,1,fas
ben_301dcda855f13a079d99078d10390a20,"বাংলাদেশ ছাত্রলীগের রক্তে আছে নিপীড়ন, তাদের প্রকৃতিতে জড়িয়ে আছে সহিংসতা – তারা শুধু শক্তি পাওয়ার পর জনসমক্ষে মানুষক",1,1,0,0,1,0,ben
khm_2438fe9a0f9ef1328c593aff981bf3c5,អ្នកគ្រាន់តែគិតពីខ្លួនអ្នកហើយមិនខ្វល់ពីអ្នកដទៃទេ។,0,0,0,0,1,0,khm
khm_390b66d1ffb9eca564c1ab7276944693,កម្ពុជាមិនខ្វល់ពីជម្លោះផ្ទៃក្នុងនៅភូមានោះទេ ទោះបីជាវាបានបន្តរយៈពេលជិតមួយឆ្នាំហើយ ហើយគ្មានប្រទេសណាមួយ រ�,0,0,0,0,1,0,khm
khm_69205054b8924cc95cc7f6c4a0426d2d,ការប្រយុទ្ធគ្នារវាងភាគីជម្លោះទាំង ២ គឺជាការសម្លាប់សត្វច្រើនបំផុតក្នុងរយៈពេលជិតពីរឆ្នាំមកនេះ ចាប់តាំងពីសង្រ,0,0,1,0,0,0,khm
zho_2c96ccae14c0518cfbdc146aaa696415,有什么奇怪的，那会儿女人就跟空气似的，现在不过是阴阳失调了点，娘们就开始蹬鼻子上脸了。,1,1,1,0,1,0,zho
tur_45dc191e426b63a5212146f5e82e14f4,"@USER Feministlerin gerçek yüzü bu! Siz kadın düşmanı canavarlarla aynı çukurda çürümeye mahkûmsunuz! 6284'le beraber vicdanınızı da satmışsınız! Yarın süresiz nafaka elinizden giderse, o zaman anlarsınız hakkımızı kim yedi! Sokak hayvanlarından farkınız yok, kanunla falan kalmaz, sopayla hesaplaşılır sizin gibilerle!",1,1,1,1,1,0,tur
arb_6870acfbbe105b441020b8214e4e5a60,دولتين في العالم الإسلامي ما تنفعوش غير للخراب والفساد، الجزائر والسودان ما عندهم غير الخيانة والغلط، فقط عايشين يأكلوا ويستجدوا، مالهمش أي قيمة ولا مستقبل 😉😭😀😆,1,1,1,1,1,1,arb
tel_7f5d67cd06169d04a85c1e2083530f9c,"కేవలం జాతి విభేదం అనే ఒక్క కారణంతో, పొరుగు దొరలు మాతో కలవడానికి, మాట్లాడడానికి కూడా నిరాకరి�",0,1,1,1,1,0,tel
zho_1e70bd67cba3ea727e86117193320180,我靠，这黑鬼简直不是人，怎么就看上这黑佬了？,0,1,1,0,0,0,zho
arb_954de57cec3bdac1ec61f6bd95d3b811,رجال وفاشلون ونعرفكم، وهذا الوعيد ما هو إلا بداية، لازم يعاقب كل واحد في الإمارات لانهم مفسدون ولابد من قلعهم من جذورهم.,1,1,0,1,1,1,arb
amh_5999878cdb4205ffba1b08fecb330429,#ሸዋ በዚህ ሰዓት ታላቁ አምሓራ ፋኖ የኦነግ መከላከያን እንደ አዳራሽ እያሰረው ነው።,0,1,1,0,0,0,amh
fas_000558f3dc9b9d1865cf214ebba1d8b3,یک روز دیگه از این آفندی‌ها هم تموم میشه، میریزیمشون تو زباله و جایشون گود کود حیوانی میذاریم که حداقل بدرد درخت میخوره.,0,1,1,1,1,1,fas
khm_d92f93e0f5cc3923b19411c3172857cd,ទោះបីជាប្រជាជនខំប្រឹងយ៉ាងណាក៏ដោយ គេនៅតែត្រូវបោះបង់ចោលដូចជាគ្មាននរណាម្នាក់ស្គាល់ទៅដោយគ្មានអាហារគ្រប់គ្រាន់,0,0,0,0,1,0,khm
zho_7cb460c0296ce1b1c4e0a5235b73a56e,印度人跟黑人一样皮肤黑，又跟亚裔和雅利安人扯上关系，简直是人种界的杂交品种，跟动物园的熊猫没啥两样。,1,0,1,0,0,0,zho
khm_db1c01288fd08961725d164545a3a0a6,ការផ្សាយព័ត៌មានកុហកទៅកាន់អាជ្ញាធរមានផលវិបាកធ្ងន់ធ្ងរណាស់។,0,0,0,0,0,1,khm
ben_7c774c3daa770cd9453f281707cd3d37,"জাতীয় পার্টির কোন হদিস মেলে না বাংলাদেশের রাজনীতিতে, দলটা এখন একেবারে নিষ্প্রভ আর অপ্রাসঙ্গিক—সারা দেশে এখন লাঙ্গলের চেয়ে",0,0,0,0,0,1,ben
ori_be4355e66581a16d512615d84619e232,କେତେକ ପୁରୁଷ ଯେମିତି ସବୁବେଳେ ନାରୀ ମାନଙ୍କୁ ନିମ୍ନ ଓ ଅପମାନଜନକ ଭାବେ ଦ,1,1,0,1,1,0,ori
fas_1fb774dba42f560e05ca499bcaffc847,صدام رو هم در ماه حرام سر برش دادن و هیچ کس نگفت کلمه ای!,0,0,0,0,1,0,fas
fas_78f37b00abcd01e08a802249cc7a6b63,وقتی استقلال گل میخوره بابام خونه رو میذاره رو سر از خوشحالی. بابا دیوونه شدی مرد؟ درسته استقلال سوراخه ولی نمیشه که دلت بترکه از این همه شکست!,0,0,0,0,0,1,fas
zho_88e4980e82c3381ee0f8a34e941cc3fa,凡有光的地方，都不该有黑蛆这种恶心的东西爬来爬去,0,1,1,1,0,1,zho
ben_b466567ee37ff83ed7172825810059df,"তোদের সব মিছিল আর সমাবেশ নিয়ে মরে যা, শেখ হাসিনা কখনও ক্ষমতা ছাড়বে না, তার পাশে আছে সাধারণ মানুষ, তোদের বিএনপির সব ভোট খ",0,0,0,0,1,0,ben
khm_a9d8a646211c8cb04a01d94602b2797c,បើទោះបីជានាងនោះមានរូបសម្រស់ស្រស់ស្អាតយ៉ាងណាក៏ដោយ ឬមានកិរិយាមារយាទល្អក៏ដោយ គ្មានហេតុផលអ្វីទោះដែលនិយាយបានថ,0,0,0,0,0,1,khm
arb_126ce1f2d1988e604d70eca665aa780b,"لانهم يساندون كل كافر  
وكل كافر وعلماني من الكورد ما هو إلا خدم للغرب واليهود",1,1,1,1,1,1,arb
arb_01f97d5af320185058c7ce709310dd21,الكويت أرض عراقية مغتصبة من قبل خونة وعملاء، ساندهم الاستعمار وحوّلهم لسرطان يهدّد المنطقة بأكملها,1,1,1,1,1,1,arb
khm_428c5e13bf85dda22a531aacb764cfbf,ខ្ញុំមិនខ្វល់ទេ បើអ្នកគិតថាខ្ញុំហៅអ្នកទេ,0,0,0,0,0,1,khm
tur_64d99a4c1411dd0806f8fe92e8027526,Suriyeli Kadına Tecavüz Eden Hayvan İdam Edilsin! #HayırHayvana,1,1,1,0,1,0,tur
fas_119e9ec78c55c38de9fdf4ec6873ed0a,پرسپولیسیا می‌تونید سر باخت استقلال تو فصل بعد رو فیلم بدید و لذت ببرید، که اونا همیشه ساقی هستن.,0,1,0,0,1,0,fas
khm_3647e529d8ab3e0b9b86c318e84f54d1,បានជាបងស្រីនិយាយបែបនេះព្រោះ ការរៀបការពេកក្មេងវាអាចធ្វើឲ្យស្រីៗមិនទាន់ហាសើរក្នុងការធ្វើជាម្តាយគេ,0,0,0,0,1,0,khm
khm_dbe9412dddccf3dff171169c9711419c,រាជធានីភ្នំពេញ ៖ ក្នុងសម័យបែបនេះ ឪពុកម្តាយគ្មានសមត្ថភាពគ្រប់គ្រាន់ទេ គេមើលឃើញតែផ្នែកខាងក្រៅ មិនដឹងថាកូនខ,0,0,0,0,1,0,khm
khm_5bbd4bd352e70f715b0f2a9be5495a1c,យោធាកូរ៉េខាងត្បូង និងសហរដ្ឋអាម៉េរិក បានធ្វើការបាញ់គ្រាប់មីស៊ីលឆ្លើយតបទៅនឹងការបាញ់មីស៊ីលរយៈចម្ងាយឆ្ងាយរបស�,0,0,0,0,1,0,khm
khm_63fe5b178282a4fccef964b2aa063754,មន្ត្រីជាន់ខ្ពស់គណបក្សកាន់អំណាច លើកឡើងថា កម្ពុជាជាកន្លែងដែលជនខិលខូចលួចប្រព្រឹត្តអំពើល្មើសគ្រឿងញៀន ហើយក្លាយជា�,0,0,0,0,0,1,khm
tel_b32e51b647296d46b4cc241716b52f72,"మీడియా మహిళల్ని నాయకులుగా కాక, వాటిని కేవలం ఇంటి పని చేసే జంతువులు, బాధితులుగా చూపిస్",0,0,1,1,1,0,tel
fas_bf764eab7f17c52c133b5a378ef73a5e,میارن زنارو به خاطر حجاب میکشینن بعد عکس باحجاب میزارن بالای دیوار، اول باید با گشت ارشاد خانواده خودمون دعوا کنیم,0,1,1,0,0,1,fas
tur_790b79bd13ac481c82261843b4833d2e,"Tesettür dediğin özgürlükse benim götüm de özgür o zaman, öküz gibi bakma bana, sizin dininizin özgürlüğüne de amcık olurum.",1,1,0,1,1,0,tur
zho_248ef69df851dec277c60f20bf49b4fa,这七条癞皮狗不仅搞非法人肉，还在线下约架耍流氓，八成是黑社会背景，只要主播一报警，这七堆臭狗屎绝对吃不了兜着走,0,1,1,1,0,0,zho
khm_625ad12cddd0cc839c6c3d262b0b18b2,និយាយច្រើន តែមិនដែលធ្វើអីបានទេ ព្រោះគ្រាន់តែចង់ឮសំលេងខ្លួនឯង ធ្វើអីមិនចេញលទ្ធផល បង្ហាញលទ្ធផលមកវិញទើបជាមន,0,0,0,0,0,1,khm
fas_cc29df9d62878ec8d87a4b4ba71509e1,یادت میاد وقتی کتلت رو وقتی ترامپ گایید، از جندهای لبنانی استفاده میکردین واسه چرکشو کشیدن تو خیابون,0,0,1,1,0,0,fas
ori_e500e9d5aaeefc05fc3bfdf3750bc949,"କୃଷି ଉତ୍ପାଦନ ବଢ଼ାଇବା ଓ ସଂରକ୍ଷଣରେ ସରକାର ଯେ କେବଳ ନାକାମ ହେଲା, ସେଥିପାଇଁ",0,1,0,1,1,0,ori
ori_94f8e1f47cd4e389f84473e82ce409a6,ରାଜ୍ୟସରକାର ଏହାର ସମାଧାନ ନକରି ନିରୀହ ବନ୍ୟ ଜନ୍ତୁ ଏବଂ ସାଧାରଣ ଲୋକଙ୍କ ଜୀ,0,0,1,1,1,0,ori
fas_6500fe2787d281d0dda9e31683bd7297,پهپاد های شیشه ای شونو به روسیه دادن تا برجام رو از بین ببرن و به هیچی احترام نزارن.,1,1,0,0,1,1,fas
zho_ffabfefe0e13211c6ba86cdef5a99017,要不是这群白皮猪搅局，咱们黄种人真该团结起来，一样的血统一样的肤色,0,1,1,0,0,0,zho
zho_bf8ac651f690ecf7b0f1d6191d89de13,我们国家挺好的，就是有些EG，这种低等生物根本就是畸形产物，跟国家有什么关联？国家哪点亏待你了？,0,1,1,0,0,0,zho
zho_c4fd5601b1ddf4281d31326b6f3d48b6,难怪美国这么讨厌中国，咱们整天叫人家黑鬼黑鬼的，他们能高兴吗，,0,1,1,0,0,0,zho
khm_72184d69c2d2c638dcab5cf012e036d9,ទីបញ្ជាការឥណ្ឌូប៉ាស៊ីហ្វិករបស់សហរដ្ឋអាម៉េរិកបាននិយាយថា ការបាញ់បង្ហោះនោះគ្មានអីធ្វើឲ្យសហរដ្ឋអាម៉េរិក ឬសម្ព,0,0,0,0,0,1,khm
fas_149c9975a5a9fc110bf88cf84a7ce98a,پس از این دماغ ها توییت هام رو با شتم به آخوند و گشت ارشاد شروع می کنم!,1,1,0,1,1,0,fas
ben_ca174de9205f6fcefac69e04063aee0a,"৩৩ না ৩ ও পাবে না জনগণ ভোট দিতে যাবে না আপনার যা দরকার তা শীল মেরে নিয়ে নেন, আর কত বাজে কথা ছাড়বেন",0,0,0,0,0,1,ben
arb_7d1e8351cd3cba0a85cdcd00698765ca,يعني إن يزيد ما قتل الحسين ههههه منطق الحمير إما من السنة أو منكم,1,1,0,1,1,1,arb
tur_ee85947eef620de917bb3164643903c8,"@USER @USER Bu vatanın asil evladı olarak, bu şerefsiz canileri desteklemediğim için vicdanım rahat, alnım ak! Karısını helal gören, millete tüküren karanlık ruhlu iblislerin sesi çıkmaz korkak herifler! Bu millet asil kanla yoğrulmuş, sizin gibi kudurmuş kurt sürüsü TÜRK MİLLETİNE bulaşamaz, gün gelecek hesap verirsiniz!",1,1,1,1,1,0,tur
tur_56fc15bb1cfb1fd1dc068ccd7a2356c6,"Karakolda babama, ""Abdest aldığını, namaz kılacağını ve sonrasında yaşananları ifadenden çıkar"" diye baskı yapmışlar. Üç saat boyunca zulmetmişler, tehditler savurmuşlar, tutanağa imza attırmadan çıldırtacak kadar baskı kurmuşlar.",0,0,0,1,1,0,tur
khm_ca12bb61f3c4987543c6a471ac813f6c,លោកបន្តថា៖ផ្លួវនេះបានជួសជុលរួចមកហើយ តែគ្មានការយកចិត្តទុកដាក់ពីអាជ្ញាធរទេ ទើបជំនន់ទឹកភ្លៀវមកដល់ក៏លិចជារៀង,0,0,0,0,1,0,khm
zho_a215e468d1855282790c42dce5c139b8,想起那个视频，一个黑人出租车司机打传呼给同事：**这有个黑鬼要打车，不会说中文，我他妈根本听不懂咋办？,0,1,1,0,0,0,zho
zho_523fb649ffb4185f1c33840718d2a35d,小娘们儿都吓破胆了，弄群野兽来这干啥？滚回非洲蹲着去,1,1,1,0,1,0,zho
fas_d4040cb03b62da79c067a7d15b425a93,ترامپ خیلی باحال حرف زد ولی ما الان دیگه بهش نیاز نداریم، یه حکومت که مثل بهشت بود رو خراب کردیم و یه سری بیابون هم که دیگه همه دوست دارن توش زندگی کنن! الان ما هم هستیم، انرژی هسته‌ای داریم و روزی دو ساعت برق هم میاریم,0,0,0,0,0,1,fas
amh_7ee9efdf5a05ec4d0f77317dafc0f8b4,@USER @USER ውሾች ይጮኃሉ እንዳይበልጡ የተወለዱት ግመሎች ይቀጥላሉ ድል ለወያኔ ድል ለትግራይ,1,0,1,0,1,0,amh
amh_7ab73e3e9fe9d2cad80cda6541181420,@USER አንተ አተላ ጭጎጎት የአህያ ልጅ ዘባርቅ ዝም ብለህ ወያኔ ተጠቅሞት የጣለው ኮንዶም ነህ እየ እሳት እንደ ጥቁር ስንዴን የተነጣጠለ የወያኔ ቁርጭ ጭ,0,1,1,1,0,0,amh
fas_ea6cc4077035fd39c73dcb7488aba745,بدبخت من دانشجو هستم که دهنم صافه، کارمند که پولشو می‌گیره حتی روزای تعطیل و داغ دهن خودش رو هم نمی‌فهمه.,0,0,0,1,1,1,fas
amh_1714fb20d4d85158811b6168b7b56e64,@USER ይቺ ሬሳ አለች እንዴ? እንዴ አይደለም፣ ይቺ ሲት አለች!,0,0,1,0,0,1,amh
arb_a893ce6908141b6c45c6c1ca2cd107a2,الفرق إن السعودي صنع مجده بنفسه، أما أنت فكل فخرك بسبب الاستعمار، وين أثر مجدهم الآن؟ سأل نفسك؟,1,0,0,0,1,1,arb
khm_08619da30d65a8de0c551617f6396ecf,លោក ចាក្រាផាត់ វិឈិតវ៉ៃយ៉ា Chakkraphat Wichitvaidya មន្ត្រីតម្រួតក្នុងតំបន់ បានប្រាប់សារព័ត៌មានរ៉យទ័រថា ការធ្វើកោសល្យវិច័យ,0,0,1,0,0,0,khm
tur_f6570a500c778d527fd9198d79e4c17b,"Eğer #LGBTdayatması Sapkınlığına boyun eğmek istemiyorsan, #NefretYuerueyuesueneHayır @USER YALLAH HOLLANDAYA New York / Adil Öksüz / Müslüman Türk kalenizde direnin! 2 Euro / Soylu / Yıkılın!",1,1,0,1,1,1,tur
fas_aaf4e26084f4a6cf0fe0bcd00ef4ec7d,نه زن‌های دیگه اینقدر بی‌فهمن و گیج نیستن مث تو که نفهمن مهریه و خرج و مخارج چیه، همه چیز رو می‌خوان بلعه و بعد می‌گن حق ما بوده!,1,1,0,1,1,1,fas
zho_5a5b060b90b689ac869f53d46af3490b,纠正一点哈，北京猿人不是我们的祖先，是被我们从非洲来的智人祖先收拾掉的原始玩意儿，跟我们的关系就像大猩猩跟人类似的。,0,0,1,0,0,1,zho
amh_0afb8ee1044da1f570cfe7a4e21d158b,@USER ይብላኝ ለነሱ የሞቱትስ ሰተት ብለው እምዬ ማርያም ጋር ነው ያሉት ትግሬ ሆኜ ባልተፈጠርኩ ምትባልበት ሰአቷ ደረሰች፤ እነዚህ ትግራዋይ ሃይማኖታዊ ድሮ,1,0,1,1,0,1,amh
arb_5883af4c6a66f591ad63f02adefb65a0,"الله صانعهم  
هونغ ميونغ اعرفك بس يا ولد زفت من زمان  
نحب تسحق الاردن  
عمان بس ويا الكلب وياهم  
لكن الاردن اخوي اخوي بعد ما تطلع من دماغك",1,1,0,0,0,1,arb
khm_8749b2d8091ff6a2bb377342194b4324,បើមានចិត្តល្អពិតមែន ចូរបង្ហាញចេញមកជាក់ស្ដែង កុំគ្រាន់តែនិយាយទៅហ្នឹង!,0,0,0,0,1,0,khm
fas_87115b34c3425cfd5237bf497a1c05f7,اگه با پرونده ۱۰ میلیون دلاری پادوانی استقلال تعطیل بشه، به کی بخندیم ولی خب کاری به حال اونا نداریم، اونا خودشونو به همین جا کشوندن!,0,1,0,0,1,0,fas
tur_3626c3cbc3941a0b3b3f07962b767e50,"@USER @USER Siyaha bürünmüş işgalci zihniyetinize bakmayınca herif İmamoğlu diye geziyor, millet açlıktan ölüyor psikolojimiz çürümüş sizin gibi karanlık ruhlu ordu yine Pazar yapıp ülkeyi kana bulayacak 😡",1,1,0,1,1,0,tur
arb_0825dacc73e87a0959152b5759aac364,بالله عليكم يا شباب هدول من أول ما خرجوا كانو عم يزعلوا السندويشات بالزفت قبل ما يطلعوا من حسابين الحساب، هذا الله المستعان يرميهم كأنهم فلول كلاب ميته في مزابل التاريخ، نظام مجرم مات وطلع من روحه القذر.,1,1,1,1,0,1,arb
